"o.sites","counted","marked","yearname","year","pres.j1","pres.j2","pres.j3","count.j1","count.j2","count.j3","observer.j1","observer.j2","observer.j3","time.j1","time.j2","time.j3"
1,"yes","no","yr2007",2007,1,0,0,29,30,13,"tech.2","tech.4","tech.1",185,95,315
2,"no","no","yr2007",2007,1,0,0,NA,NA,NA,"tech.1","tech.4","tech.1",NA,NA,NA
3,"no","no","yr2007",2007,1,0,1,NA,NA,NA,"tech.3","tech.3","tech.2",NA,NA,NA
4,"yes","no","yr2007",2007,0,0,0,110,67,116,"tech.3","tech.2","tech.3",70,270,175
5,"no","no","yr2007",2007,1,0,0,NA,NA,NA,"tech.2","tech.4","tech.4",NA,NA,NA
6,"yes","no","yr2007",2007,0,0,0,0,0,0,"tech.1","tech.4","tech.2",165,115,315
7,"no","no","yr2007",2007,0,0,0,NA,NA,NA,"tech.3","tech.4","tech.2",NA,NA,NA
8,"yes","yes","yr2007",2007,0,0,1,91,79,128,"tech.2","tech.3","tech.1",310,20,270
9,"no","no","yr2007",2007,0,0,0,NA,NA,NA,"tech.2","tech.4","tech.1",NA,NA,NA
10,"yes","no","yr2007",2007,0,0,0,73,95,116,"tech.1","tech.1","tech.3",310,35,65
11,"yes","no","yr2007",2007,1,0,1,36,40,70,"tech.3","tech.4","tech.2",15,65,115
12,"yes","no","yr2007",2007,1,0,0,124,106,103,"tech.2","tech.3","tech.2",25,290,25
13,"yes","yes","yr2007",2007,1,1,1,21,37,34,"tech.1","tech.3","tech.3",25,205,220
14,"yes","yes","yr2007",2007,0,0,0,106,128,82,"tech.2","tech.3","tech.3",260,180,5
15,"no","no","yr2007",2007,0,0,0,NA,NA,NA,"tech.3","tech.4","tech.4",NA,NA,NA
16,"no","no","yr2007",2007,1,0,0,NA,NA,NA,"tech.4","tech.4","tech.4",NA,NA,NA
17,"yes","no","yr2007",2007,0,1,0,150,141,154,"tech.3","tech.1","tech.3",225,255,185
18,"no","no","yr2007",2007,0,0,0,NA,NA,NA,"tech.4","tech.1","tech.4",NA,NA,NA
19,"yes","no","yr2007",2007,0,1,0,105,73,69,"tech.2","tech.2","tech.1",170,260,40
20,"yes","no","yr2007",2007,0,0,0,37,30,27,"tech.3","tech.3","tech.2",135,80,90
21,"yes","no","yr2007",2007,1,0,1,157,129,182,"tech.1","tech.4","tech.1",110,260,190
22,"yes","no","yr2007",2007,0,0,0,80,93,82,"tech.1","tech.2","tech.3",105,120,210
23,"no","no","yr2007",2007,0,0,1,NA,NA,NA,"tech.4","tech.3","tech.2",NA,NA,NA
24,"no","no","yr2007",2007,0,0,0,NA,NA,NA,"tech.3","tech.3","tech.4",NA,NA,NA
25,"no","no","yr2007",2007,0,0,0,NA,NA,NA,"tech.3","tech.1","tech.1",NA,NA,NA
26,"yes","no","yr2007",2007,0,0,0,50,35,28,"tech.1","tech.3","tech.3",200,135,65
27,"no","no","yr2007",2007,1,0,0,NA,NA,NA,"tech.2","tech.4","tech.1",NA,NA,NA
28,"no","no","yr2007",2007,0,0,0,NA,NA,NA,"tech.2","tech.1","tech.2",NA,NA,NA
29,"no","no","yr2007",2007,0,0,0,NA,NA,NA,"tech.2","tech.2","tech.4",NA,NA,NA
30,"yes","no","yr2007",2007,0,0,1,57,63,39,"tech.3","tech.3","tech.4",190,115,300
31,"no","no","yr2007",2007,0,0,0,NA,NA,NA,"tech.1","tech.4","tech.2",NA,NA,NA
32,"no","no","yr2007",2007,1,0,0,NA,NA,NA,"tech.1","tech.2","tech.4",NA,NA,NA
33,"no","no","yr2007",2007,0,0,1,NA,NA,NA,"tech.4","tech.2","tech.3",NA,NA,NA
34,"no","no","yr2007",2007,0,0,0,NA,NA,NA,"tech.2","tech.3","tech.1",NA,NA,NA
35,"yes","no","yr2007",2007,0,0,0,0,0,0,"tech.2","tech.1","tech.4",210,265,270
36,"no","no","yr2007",2007,0,1,1,NA,NA,NA,"tech.3","tech.1","tech.1",NA,NA,NA
37,"yes","no","yr2007",2007,0,0,0,191,186,139,"tech.4","tech.2","tech.1",115,175,70
38,"yes","no","yr2007",2007,0,0,1,34,48,42,"tech.3","tech.1","tech.1",100,80,95
39,"yes","yes","yr2007",2007,0,0,0,51,94,89,"tech.2","tech.1","tech.3",320,105,230
40,"no","no","yr2007",2007,1,0,0,NA,NA,NA,"tech.1","tech.2","tech.1",NA,NA,NA
41,"no","no","yr2007",2007,0,0,1,NA,NA,NA,"tech.4","tech.3","tech.3",NA,NA,NA
42,"no","no","yr2007",2007,0,1,0,NA,NA,NA,"tech.4","tech.2","tech.3",NA,NA,NA
43,"no","no","yr2007",2007,1,0,1,NA,NA,NA,"tech.1","tech.3","tech.4",NA,NA,NA
44,"yes","no","yr2007",2007,1,0,0,115,97,86,"tech.4","tech.1","tech.4",140,260,15
45,"yes","no","yr2007",2007,1,0,1,32,35,35,"tech.3","tech.1","tech.1",25,275,50
46,"yes","yes","yr2007",2007,0,0,1,128,92,104,"tech.4","tech.2","tech.2",170,75,195
47,"no","no","yr2007",2007,0,0,0,NA,NA,NA,"tech.2","tech.4","tech.1",NA,NA,NA
48,"no","no","yr2007",2007,0,0,0,NA,NA,NA,"tech.1","tech.1","tech.1",NA,NA,NA
49,"yes","no","yr2007",2007,0,0,0,0,0,0,"tech.1","tech.3","tech.1",65,195,240
50,"yes","no","yr2007",2007,0,0,0,0,0,0,"tech.4","tech.3","tech.1",120,70,210
51,"no","no","yr2007",2007,0,0,0,NA,NA,NA,"tech.2","tech.2","tech.4",NA,NA,NA
52,"yes","no","yr2007",2007,0,1,0,14,15,10,"tech.4","tech.2","tech.4",285,125,40
53,"no","no","yr2007",2007,1,0,1,NA,NA,NA,"tech.2","tech.4","tech.2",NA,NA,NA
54,"no","no","yr2007",2007,0,0,0,NA,NA,NA,"tech.4","tech.4","tech.3",NA,NA,NA
55,"yes","no","yr2007",2007,0,0,1,134,44,158,"tech.1","tech.2","tech.1",40,360,75
56,"yes","no","yr2007",2007,0,0,1,30,100,118,"tech.4","tech.2","tech.2",355,110,160
57,"no","no","yr2007",2007,0,0,1,NA,NA,NA,"tech.4","tech.2","tech.4",NA,NA,NA
58,"yes","yes","yr2007",2007,0,0,0,0,0,0,"tech.4","tech.2","tech.3",290,160,125
59,"no","no","yr2007",2007,0,0,0,NA,NA,NA,"tech.2","tech.3","tech.2",NA,NA,NA
60,"yes","no","yr2007",2007,0,1,1,9,3,7,"tech.1","tech.3","tech.4",320,75,175
61,"no","no","yr2007",2007,0,0,0,NA,NA,NA,"tech.2","tech.4","tech.3",NA,NA,NA
62,"yes","yes","yr2007",2007,0,0,0,0,0,0,"tech.3","tech.3","tech.1",225,245,160
63,"no","no","yr2007",2007,0,0,0,NA,NA,NA,"tech.3","tech.4","tech.2",NA,NA,NA
64,"no","no","yr2007",2007,0,0,0,NA,NA,NA,"tech.4","tech.3","tech.3",NA,NA,NA
65,"yes","no","yr2007",2007,0,0,0,60,57,64,"tech.2","tech.3","tech.1",250,220,230
66,"no","no","yr2007",2007,0,0,0,NA,NA,NA,"tech.1","tech.4","tech.2",NA,NA,NA
67,"no","no","yr2007",2007,1,1,0,NA,NA,NA,"tech.1","tech.2","tech.4",NA,NA,NA
68,"yes","yes","yr2007",2007,0,1,0,21,7,21,"tech.2","tech.3","tech.2",225,340,70
69,"yes","yes","yr2007",2007,0,1,0,167,84,72,"tech.4","tech.4","tech.2",120,295,310
70,"no","no","yr2007",2007,0,0,0,NA,NA,NA,"tech.1","tech.1","tech.1",NA,NA,NA
71,"yes","no","yr2007",2007,0,0,0,63,56,42,"tech.1","tech.3","tech.4",105,195,310
72,"no","no","yr2007",2007,0,0,0,NA,NA,NA,"tech.3","tech.1","tech.1",NA,NA,NA
73,"no","no","yr2007",2007,0,0,1,NA,NA,NA,"tech.4","tech.3","tech.2",NA,NA,NA
74,"no","no","yr2007",2007,0,1,0,NA,NA,NA,"tech.4","tech.4","tech.1",NA,NA,NA
75,"yes","yes","yr2007",2007,0,0,1,40,35,44,"tech.1","tech.1","tech.2",40,15,115
76,"yes","yes","yr2007",2007,1,0,0,66,39,63,"tech.4","tech.4","tech.4",220,275,240
77,"no","no","yr2007",2007,0,0,0,NA,NA,NA,"tech.3","tech.4","tech.4",NA,NA,NA
78,"no","no","yr2007",2007,0,0,0,NA,NA,NA,"tech.2","tech.2","tech.2",NA,NA,NA
79,"yes","no","yr2007",2007,0,0,1,36,18,28,"tech.2","tech.3","tech.2",205,325,275
80,"no","no","yr2007",2007,0,1,1,NA,NA,NA,"tech.3","tech.1","tech.2",NA,NA,NA
81,"no","no","yr2007",2007,0,1,0,NA,NA,NA,"tech.1","tech.2","tech.4",NA,NA,NA
82,"no","no","yr2007",2007,0,0,0,NA,NA,NA,"tech.3","tech.3","tech.1",NA,NA,NA
83,"yes","yes","yr2007",2007,0,0,0,0,0,0,"tech.1","tech.1","tech.4",115,170,85
84,"yes","yes","yr2007",2007,0,0,1,24,39,30,"tech.1","tech.2","tech.2",290,225,275
85,"no","no","yr2007",2007,0,1,0,NA,NA,NA,"tech.3","tech.1","tech.4",NA,NA,NA
86,"yes","yes","yr2007",2007,0,0,0,66,109,86,"tech.3","tech.2","tech.4",25,110,150
87,"no","no","yr2007",2007,0,1,1,NA,NA,NA,"tech.4","tech.1","tech.2",NA,NA,NA
88,"yes","no","yr2007",2007,0,0,0,0,0,0,"tech.3","tech.3","tech.3",110,110,165
89,"no","no","yr2007",2007,0,0,0,NA,NA,NA,"tech.2","tech.1","tech.3",NA,NA,NA
90,"no","no","yr2007",2007,0,0,0,NA,NA,NA,"tech.4","tech.2","tech.4",NA,NA,NA
91,"yes","yes","yr2007",2007,0,1,0,18,11,8,"tech.4","tech.2","tech.1",270,280,280
92,"yes","no","yr2007",2007,0,0,0,0,0,0,"tech.2","tech.4","tech.4",255,85,35
93,"yes","yes","yr2007",2007,0,1,0,98,74,52,"tech.1","tech.1","tech.3",95,240,310
94,"yes","yes","yr2007",2007,0,0,0,27,75,31,"tech.4","tech.3","tech.2",345,105,310
95,"yes","yes","yr2007",2007,0,0,0,0,0,0,"tech.1","tech.1","tech.4",250,200,225
96,"no","no","yr2007",2007,0,0,0,NA,NA,NA,"tech.1","tech.4","tech.2",NA,NA,NA
97,"yes","no","yr2007",2007,0,0,0,0,1,1,"tech.2","tech.2","tech.4",255,125,330
98,"yes","yes","yr2007",2007,0,0,1,146,162,110,"tech.4","tech.4","tech.1",80,165,35
99,"no","no","yr2007",2007,0,0,0,NA,NA,NA,"tech.4","tech.2","tech.4",NA,NA,NA
100,"yes","yes","yr2007",2007,0,0,0,0,0,0,"tech.2","tech.3","tech.2",175,330,90
1,"yes","no","yr2008",2008,0,1,0,15,10,13,"tech.1","tech.4","tech.2",100,330,20
2,"no","no","yr2008",2008,0,0,0,NA,NA,NA,"tech.1","tech.3","tech.1",NA,NA,NA
3,"no","no","yr2008",2008,0,0,1,NA,NA,NA,"tech.2","tech.3","tech.3",NA,NA,NA
4,"yes","no","yr2008",2008,1,0,1,59,69,57,"tech.2","tech.3","tech.2",225,155,255
5,"no","no","yr2008",2008,0,0,0,NA,NA,NA,"tech.3","tech.2","tech.2",NA,NA,NA
6,"yes","no","yr2008",2008,0,0,0,0,3,0,"tech.2","tech.4","tech.4",360,50,315
7,"no","no","yr2008",2008,0,0,1,NA,NA,NA,"tech.4","tech.4","tech.1",NA,NA,NA
8,"yes","yes","yr2008",2008,0,0,0,0,0,5,"tech.3","tech.3","tech.4",25,190,230
9,"no","no","yr2008",2008,0,0,0,NA,NA,NA,"tech.3","tech.4","tech.2",NA,NA,NA
10,"yes","no","yr2008",2008,0,1,0,55,35,54,"tech.4","tech.3","tech.2",275,335,80
11,"yes","no","yr2008",2008,0,1,1,32,30,23,"tech.1","tech.1","tech.2",235,180,295
12,"yes","no","yr2008",2008,1,0,0,94,74,65,"tech.3","tech.4","tech.3",85,240,30
13,"yes","yes","yr2008",2008,0,1,1,24,18,9,"tech.3","tech.4","tech.1",60,20,330
14,"yes","yes","yr2008",2008,0,0,0,1,1,0,"tech.1","tech.3","tech.2",100,255,30
15,"no","no","yr2008",2008,0,1,1,NA,NA,NA,"tech.1","tech.1","tech.1",NA,NA,NA
16,"no","no","yr2008",2008,0,0,0,NA,NA,NA,"tech.3","tech.2","tech.4",NA,NA,NA
17,"yes","no","yr2008",2008,0,0,0,1,1,0,"tech.4","tech.1","tech.1",130,15,95
18,"no","no","yr2008",2008,0,1,0,NA,NA,NA,"tech.4","tech.1","tech.2",NA,NA,NA
19,"yes","no","yr2008",2008,0,0,0,40,60,42,"tech.2","tech.1","tech.3",60,180,135
20,"yes","no","yr2008",2008,1,0,0,4,14,8,"tech.2","tech.4","tech.1",350,165,40
21,"yes","no","yr2008",2008,0,0,0,3,0,0,"tech.4","tech.1","tech.4",70,250,5
22,"yes","no","yr2008",2008,1,0,0,44,55,27,"tech.1","tech.3","tech.2",60,195,250
23,"no","no","yr2008",2008,0,0,0,NA,NA,NA,"tech.4","tech.4","tech.4",NA,NA,NA
24,"no","no","yr2008",2008,0,0,0,NA,NA,NA,"tech.2","tech.3","tech.4",NA,NA,NA
25,"no","no","yr2008",2008,0,0,0,NA,NA,NA,"tech.4","tech.1","tech.2",NA,NA,NA
26,"yes","no","yr2008",2008,1,1,1,11,8,9,"tech.2","tech.1","tech.3",320,235,60
27,"no","no","yr2008",2008,1,0,1,NA,NA,NA,"tech.2","tech.3","tech.1",NA,NA,NA
28,"no","no","yr2008",2008,1,0,0,NA,NA,NA,"tech.1","tech.3","tech.3",NA,NA,NA
29,"no","no","yr2008",2008,0,1,0,NA,NA,NA,"tech.4","tech.4","tech.4",NA,NA,NA
30,"yes","no","yr2008",2008,0,1,0,23,24,28,"tech.4","tech.2","tech.3",105,160,50
31,"no","no","yr2008",2008,0,0,0,NA,NA,NA,"tech.4","tech.4","tech.4",NA,NA,NA
32,"no","no","yr2008",2008,0,0,0,NA,NA,NA,"tech.3","tech.3","tech.1",NA,NA,NA
33,"no","no","yr2008",2008,1,0,0,NA,NA,NA,"tech.4","tech.2","tech.4",NA,NA,NA
34,"no","no","yr2008",2008,1,0,1,NA,NA,NA,"tech.3","tech.3","tech.2",NA,NA,NA
35,"yes","no","yr2008",2008,0,0,0,1,1,1,"tech.2","tech.3","tech.1",5,290,120
36,"no","no","yr2008",2008,0,1,0,NA,NA,NA,"tech.3","tech.1","tech.3",NA,NA,NA
37,"yes","no","yr2008",2008,0,0,0,47,59,87,"tech.4","tech.2","tech.1",295,280,110
38,"yes","no","yr2008",2008,0,0,0,20,16,28,"tech.2","tech.1","tech.3",270,305,105
39,"yes","yes","yr2008",2008,0,0,1,49,30,46,"tech.3","tech.2","tech.2",140,295,145
40,"no","no","yr2008",2008,0,1,0,NA,NA,NA,"tech.4","tech.2","tech.4",NA,NA,NA
41,"no","no","yr2008",2008,1,0,1,NA,NA,NA,"tech.2","tech.4","tech.2",NA,NA,NA
42,"no","no","yr2008",2008,0,1,1,NA,NA,NA,"tech.3","tech.2","tech.3",NA,NA,NA
43,"no","no","yr2008",2008,1,1,1,NA,NA,NA,"tech.2","tech.1","tech.3",NA,NA,NA
44,"yes","no","yr2008",2008,0,0,1,90,89,47,"tech.3","tech.2","tech.1",230,155,290
45,"yes","no","yr2008",2008,0,0,0,16,6,19,"tech.3","tech.3","tech.3",80,340,310
46,"yes","yes","yr2008",2008,0,1,0,38,50,42,"tech.2","tech.2","tech.4",95,170,245
47,"no","no","yr2008",2008,0,0,0,NA,NA,NA,"tech.4","tech.4","tech.1",NA,NA,NA
48,"no","no","yr2008",2008,1,0,1,NA,NA,NA,"tech.3","tech.3","tech.1",NA,NA,NA
49,"yes","no","yr2008",2008,0,0,0,4,3,2,"tech.2","tech.4","tech.2",60,310,325
50,"yes","no","yr2008",2008,0,0,0,0,0,0,"tech.1","tech.1","tech.1",215,355,5
51,"no","no","yr2008",2008,0,0,1,NA,NA,NA,"tech.4","tech.4","tech.2",NA,NA,NA
52,"yes","no","yr2008",2008,0,0,0,0,0,0,"tech.1","tech.3","tech.4",300,70,115
53,"no","no","yr2008",2008,0,0,0,NA,NA,NA,"tech.4","tech.4","tech.3",NA,NA,NA
54,"no","no","yr2008",2008,0,1,0,NA,NA,NA,"tech.3","tech.1","tech.4",NA,NA,NA
55,"yes","no","yr2008",2008,0,0,0,69,52,69,"tech.2","tech.4","tech.2",55,45,170
56,"yes","no","yr2008",2008,0,0,0,30,27,40,"tech.3","tech.1","tech.2",290,325,5
57,"no","no","yr2008",2008,0,0,0,NA,NA,NA,"tech.3","tech.2","tech.4",NA,NA,NA
58,"yes","yes","yr2008",2008,0,0,0,1,0,1,"tech.4","tech.3","tech.1",120,60,45
59,"no","no","yr2008",2008,0,0,0,NA,NA,NA,"tech.3","tech.3","tech.4",NA,NA,NA
60,"yes","no","yr2008",2008,0,0,1,4,5,7,"tech.4","tech.2","tech.1",10,260,100
61,"no","no","yr2008",2008,0,0,0,NA,NA,NA,"tech.3","tech.1","tech.2",NA,NA,NA
62,"yes","yes","yr2008",2008,0,0,0,0,0,0,"tech.1","tech.3","tech.3",15,25,340
63,"no","no","yr2008",2008,0,0,0,NA,NA,NA,"tech.3","tech.4","tech.3",NA,NA,NA
64,"no","no","yr2008",2008,0,0,0,NA,NA,NA,"tech.4","tech.1","tech.1",NA,NA,NA
65,"yes","no","yr2008",2008,0,0,1,20,25,15,"tech.3","tech.4","tech.2",315,255,325
66,"no","no","yr2008",2008,0,1,1,NA,NA,NA,"tech.2","tech.2","tech.1",NA,NA,NA
67,"no","no","yr2008",2008,0,0,0,NA,NA,NA,"tech.4","tech.4","tech.4",NA,NA,NA
68,"yes","yes","yr2008",2008,0,0,0,1,0,1,"tech.2","tech.4","tech.2",250,220,5
69,"yes","yes","yr2008",2008,0,0,0,0,0,0,"tech.2","tech.3","tech.1",120,60,65
70,"no","no","yr2008",2008,0,0,0,NA,NA,NA,"tech.4","tech.4","tech.4",NA,NA,NA
71,"yes","no","yr2008",2008,0,1,0,21,14,28,"tech.3","tech.1","tech.4",260,35,220
72,"no","no","yr2008",2008,0,0,0,NA,NA,NA,"tech.1","tech.2","tech.4",NA,NA,NA
73,"no","no","yr2008",2008,0,1,0,NA,NA,NA,"tech.1","tech.1","tech.4",NA,NA,NA
74,"no","no","yr2008",2008,0,1,1,NA,NA,NA,"tech.4","tech.2","tech.2",NA,NA,NA
75,"yes","yes","yr2008",2008,0,0,0,2,7,1,"tech.1","tech.1","tech.2",20,15,130
76,"yes","yes","yr2008",2008,1,1,0,34,25,30,"tech.2","tech.1","tech.4",110,30,120
77,"no","no","yr2008",2008,1,0,1,NA,NA,NA,"tech.2","tech.4","tech.1",NA,NA,NA
78,"no","no","yr2008",2008,0,0,0,NA,NA,NA,"tech.4","tech.1","tech.1",NA,NA,NA
79,"yes","no","yr2008",2008,0,0,0,0,1,0,"tech.3","tech.4","tech.4",185,225,30
80,"no","no","yr2008",2008,0,0,1,NA,NA,NA,"tech.4","tech.4","tech.4",NA,NA,NA
81,"no","no","yr2008",2008,0,0,1,NA,NA,NA,"tech.3","tech.3","tech.2",NA,NA,NA
82,"no","no","yr2008",2008,0,0,0,NA,NA,NA,"tech.3","tech.3","tech.4",NA,NA,NA
83,"yes","yes","yr2008",2008,0,0,0,0,0,0,"tech.3","tech.2","tech.2",170,115,140
84,"yes","yes","yr2008",2008,1,0,0,24,22,5,"tech.1","tech.3","tech.2",175,95,345
85,"no","no","yr2008",2008,0,0,1,NA,NA,NA,"tech.1","tech.1","tech.1",NA,NA,NA
86,"yes","yes","yr2008",2008,0,0,0,24,28,38,"tech.1","tech.2","tech.2",340,315,55
87,"no","no","yr2008",2008,0,0,0,NA,NA,NA,"tech.2","tech.4","tech.4",NA,NA,NA
88,"yes","no","yr2008",2008,0,0,0,1,1,1,"tech.1","tech.2","tech.3",20,75,175
89,"no","no","yr2008",2008,0,0,0,NA,NA,NA,"tech.4","tech.4","tech.3",NA,NA,NA
90,"no","no","yr2008",2008,0,0,0,NA,NA,NA,"tech.3","tech.2","tech.4",NA,NA,NA
91,"yes","yes","yr2008",2008,0,0,0,9,7,8,"tech.2","tech.4","tech.3",65,0,175
92,"yes","no","yr2008",2008,1,0,0,3,0,1,"tech.2","tech.4","tech.3",95,325,130
93,"yes","yes","yr2008",2008,0,1,0,32,11,30,"tech.4","tech.2","tech.4",260,355,100
94,"yes","yes","yr2008",2008,0,1,0,15,41,19,"tech.1","tech.1","tech.1",5,135,275
95,"yes","yes","yr2008",2008,0,0,0,0,0,0,"tech.4","tech.4","tech.3",295,310,360
96,"no","no","yr2008",2008,0,0,0,NA,NA,NA,"tech.3","tech.2","tech.1",NA,NA,NA
97,"yes","no","yr2008",2008,0,0,0,0,1,3,"tech.4","tech.1","tech.2",55,120,15
98,"yes","yes","yr2008",2008,0,0,0,28,56,48,"tech.3","tech.4","tech.4",340,260,35
99,"no","no","yr2008",2008,0,0,0,NA,NA,NA,"tech.4","tech.4","tech.1",NA,NA,NA
100,"yes","yes","yr2008",2008,0,1,0,1,0,5,"tech.4","tech.4","tech.4",295,160,230
1,"yes","no","yr2009",2009,0,0,0,6,0,7,"tech.2","tech.2","tech.3",15,360,20
2,"no","no","yr2009",2009,0,0,0,NA,NA,NA,"tech.3","tech.1","tech.2",NA,NA,NA
3,"no","no","yr2009",2009,1,0,1,NA,NA,NA,"tech.2","tech.3","tech.2",NA,NA,NA
4,"yes","no","yr2009",2009,0,0,0,63,58,67,"tech.1","tech.3","tech.1",60,215,165
5,"no","no","yr2009",2009,1,0,0,NA,NA,NA,"tech.2","tech.4","tech.1",NA,NA,NA
6,"yes","no","yr2009",2009,0,0,0,0,1,0,"tech.4","tech.3","tech.3",140,90,255
7,"no","no","yr2009",2009,0,0,0,NA,NA,NA,"tech.3","tech.4","tech.3",NA,NA,NA
8,"yes","yes","yr2009",2009,0,0,0,1,0,0,"tech.1","tech.4","tech.3",170,70,330
9,"no","no","yr2009",2009,0,1,0,NA,NA,NA,"tech.3","tech.4","tech.2",NA,NA,NA
10,"yes","no","yr2009",2009,0,1,0,20,37,35,"tech.2","tech.1","tech.4",360,40,305
11,"yes","no","yr2009",2009,1,0,1,12,27,27,"tech.1","tech.3","tech.1",15,145,205
12,"yes","no","yr2009",2009,0,0,0,1,3,2,"tech.1","tech.4","tech.2",125,170,20
13,"yes","yes","yr2009",2009,0,0,0,4,4,4,"tech.3","tech.3","tech.1",340,105,180
14,"yes","yes","yr2009",2009,1,0,1,8,3,5,"tech.1","tech.2","tech.1",175,225,0
15,"no","no","yr2009",2009,0,0,0,NA,NA,NA,"tech.2","tech.3","tech.4",NA,NA,NA
16,"no","no","yr2009",2009,0,0,1,NA,NA,NA,"tech.2","tech.2","tech.1",NA,NA,NA
17,"yes","no","yr2009",2009,0,0,0,1,3,0,"tech.4","tech.1","tech.3",185,170,135
18,"no","no","yr2009",2009,1,1,0,NA,NA,NA,"tech.3","tech.4","tech.4",NA,NA,NA
19,"yes","no","yr2009",2009,0,0,0,28,26,29,"tech.1","tech.3","tech.3",180,240,5
20,"yes","no","yr2009",2009,0,0,0,16,10,13,"tech.2","tech.4","tech.1",165,235,280
21,"yes","no","yr2009",2009,1,0,0,4,1,1,"tech.1","tech.4","tech.3",250,0,240
22,"yes","no","yr2009",2009,0,0,0,0,0,0,"tech.4","tech.1","tech.1",125,290,285
23,"no","no","yr2009",2009,0,0,0,NA,NA,NA,"tech.2","tech.1","tech.3",NA,NA,NA
24,"no","no","yr2009",2009,0,0,0,NA,NA,NA,"tech.3","tech.3","tech.4",NA,NA,NA
25,"no","no","yr2009",2009,1,0,0,NA,NA,NA,"tech.1","tech.4","tech.4",NA,NA,NA
26,"yes","no","yr2009",2009,0,1,0,13,16,15,"tech.2","tech.1","tech.4",130,135,70
27,"no","no","yr2009",2009,0,0,0,NA,NA,NA,"tech.2","tech.3","tech.2",NA,NA,NA
28,"no","no","yr2009",2009,0,0,1,NA,NA,NA,"tech.2","tech.4","tech.1",NA,NA,NA
29,"no","no","yr2009",2009,1,0,0,NA,NA,NA,"tech.1","tech.2","tech.3",NA,NA,NA
30,"yes","no","yr2009",2009,0,0,0,29,14,18,"tech.3","tech.4","tech.3",160,295,10
31,"no","no","yr2009",2009,1,1,1,NA,NA,NA,"tech.3","tech.1","tech.3",NA,NA,NA
32,"no","no","yr2009",2009,0,0,1,NA,NA,NA,"tech.4","tech.2","tech.2",NA,NA,NA
33,"no","no","yr2009",2009,0,0,0,NA,NA,NA,"tech.4","tech.4","tech.4",NA,NA,NA
34,"no","no","yr2009",2009,0,0,0,NA,NA,NA,"tech.3","tech.4","tech.4",NA,NA,NA
35,"yes","no","yr2009",2009,0,0,0,1,1,2,"tech.2","tech.2","tech.4",100,135,135
36,"no","no","yr2009",2009,0,1,0,NA,NA,NA,"tech.4","tech.2","tech.1",NA,NA,NA
